Odds,Win pos,Times
"(25, 2, 7, 5, 7, 15)",,1
"(3, 5, 6, 30, 13, 30)",,1
"(5, 12, 13, 2, 26, 18)",,1
"(7, 26, 3, 16, 2, 8)",,1
"(12, 2, 28, 24, 3, 14)",,1
"(3, 'EVENS\n', 26, 7, 21, 10)",,1
"(10, 2, 23, 3, 27, 12)",,1
"(13, 17, 'EVENS\n', 13, 16, 3)",,1
"(7, 2, 16, 3, 12, 26)",,1
"(7, 3, 20, 4, 21, 9)",,1
"(21, 12, 7, 2, 28, 4)",,1
"(23, 12, 3, 16, 6, 'EVENS\n')",,1
"(12, 27, 13, 25, 3, 3)",,1
"(12, 'EVENS\n', 26, 13, 5, 29)",,1
"(18, 9, 3, 21, 12, 2)",,1
"(9, 16, 5, 3, 14, 17)",,1
"(27, 9, 8, 24, 5, 4)",5,1
"(5, 12, 27, 4, 7, 19)",,1
"(4, 25, 12, 'EVENS\n', 16, 12)",,1
"(16, 3, 10, 29, 2, 8)",,1
"(10, 5, 10, 3, 26, 26)",,1
"(14, 17, 28, 4, 3, 13)",,1
"(2, 10, 3, 23, 7, 17)",,1
"(8, 'EVENS\n', 30, 2, 22, 9)",,1
"(22, 4, 7, 27, 7, 'EVENS\n')",,1
"(12, 'EVENS\n', 3, 28, 12, 19)",,1
"(12, 13, 4, 24, 3, 16)",,1
"(6, 5, 3, 16, 21, 6)",,1
"(24, 2, 8, 14, 4, 24)",,1
"('EVENS\n', 15, 25, 7, 3, 30)",,1
"(12, 'EVENS\n', 21, 7, 23, 'EVENS\n')",,1
"(16, 2, 13, 3, 8, 28)",,1
"(2, 27, 28, 9, 10, 'EVENS\n')",,1
"(15, 27, 3, 4, 12, 20)",,1
"(17, 5, 2, 14, 7, 28)",,1
"(25, 21, 5, 14, 4, 6)",,1
"(14, 'EVENS\n', 'EVENS\n', 9, 30, 30)",,1
"(3, 26, 13, 4, 10, 24)",,1
"(22, 3, 15, 8, 24, 2)",,1
"(8, 19, 13, 2, 25, 4)",,1
"(20, 13, 12, 21, 3, 'EVENS\n')",,1
"('EVENS\n', 19, 26, 4, 13, 13)",,1
"(5, 15, 30, 18, 15, 5)",,1
"(9, 2, 30, 12, 3, 18)",,1
"(3, 19, 9, 7, 'EVENS\n', 20)",,1
"(2, 14, 25, 10, 23, 'EVENS\n')",,1
"(29, 12, 7, 9, 5, 'EVENS\n')",,1
"(4, 22, 18, 14, 4, 10)",,1
"(5, 22, 5, 7, 8, 29)",,1
"(2, 18, 8, 3, 21, 12)",,1
"(7, 19, 'EVENS\n', 7, 5, 27)",,1
"(3, 3, 25, 15, 24, 14)",,1
"('EVENS\n', 2, 15, 7, 20, 23)",,1
"(3, 5, 29, 27, 14, 13)",,1
"(5, 7, 6, 26, 18, 4)",,1
"(30, 8, 10, 4, 'EVENS\n', 16)",,1
"(8, 4, 9, 26, 'EVENS\n', 18)",,1
"(13, 4, 24, 25, 3, 10)",,1
"(24, 'EVENS\n', 7, 12, 9, 3)",,1
"(2, 6, 25, 12, 26, 'EVENS\n')",,1
"(9, 23, 7, 5, 15, 2)",,1
"(21, 20, 3, 15, 12, 3)",,1
"(14, 26, 27, 6, 3, 'EVENS\n')",,1
"(26, 2, 6, 10, 27, 5)",,1
"(2, 12, 4, 22, 10, 20)",,1
"(29, 8, 'EVENS\n', 28, 5, 15)",,1
"(2, 6, 24, 23, 10, 5)",,1
"(9, 3, 21, 4, 10, 29)",,1
"(4, 6, 19, 7, 4, 7)",0,1
"(6, 'EVENS\n', 28, 9, 3, 30)",,1
"(2, 13, 29, 10, 3, 25)",,1
"(2, 30, 12, 9, 26, 4)",5,1
"(8, 17, 29, 12, 2, 2)",,1
"(7, 16, 4, 3, 24, 15)",,1
"(3, 3, 7, 30, 13, 30)",,1
"(3, 19, 15, 21, 2, 14)",,1
"(10, 4, 8, 7, 'EVENS\n', 25)",,1
"(5, 9, 20, 23, 5, 12)",,1
"(2, 'EVENS\n', 19, 30, 13, 12)",,1
"(26, 7, 8, 5, 19, 'EVENS\n')",,1
"(17, 9, 3, 24, 13, 'EVENS\n')",,1
"(5, 23, 3, 15, 9, 28)",,1
"(24, 15, 13, 29, 4, 'EVENS\n')",,1
"(12, 30, 27, 3, 3, 13)",,1
"(7, 4, 5, 12, 27, 21)",,1
"(2, 6, 18, 5, 9, 28)",,1
"(16, 15, 9, 24, 'EVENS\n', 'EVENS\n')",,1
"(13, 5, 25, 7, 'EVENS\n', 15)",,1
"(4, 22, 23, 3, 12, 8)",,1
"(4, 30, 7, 5, 7, 29)",,1
"(7, 30, 15, 29, 'EVENS\n', 4)",,1
"(14, 8, 2, 'EVENS\n', 26, 26)",,1
"(28, 8, 4, 8, 3, 18)",,1
"(13, 21, 12, 21, 5, 'EVENS\n')",,1
"(8, 30, 5, 5, 30, 12)",,1
"(13, 4, 18, 29, 6, 'EVENS\n')",1,1
"('EVENS\n', 24, 6, 2, 8, 19)",,1
"(19, 15, 6, 2, 4, 29)",,1
"(30, 3, 24, 15, 2, 15)",,1
"(13, 4, 'EVENS\n', 26, 30, 15)",,1
"(21, 25, 4, 13, 15, 5)",,1
"('EVENS\n', 25, 5, 14, 6, 25)",,1
"(26, 4, 30, 'EVENS\n', 12, 7)",,1
"(2, 30, 16, 10, 15, 'EVENS\n')",,1
"(24, 9, 12, 5, 19, 4)",,1
"('EVENS\n', 12, 10, 21, 3, 23)",,1
"(8, 12, 26, 4, 29, 2)",3,1
